task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	1a/8164e8	164643	basecalling_demultiplexing_guppy (1)	COMPLETED	0	2021-07-22 15:03:23.525	10h 17m 17s	10h 17m 13s	117.6%	2 GB	19.1 GB	206.3 GB	24.7 GB
2	39/46f733	5124085	pycoqc (1)	COMPLETED	0	2021-07-23 01:20:41.133	1m 8s	48s	95.1%	2.1 GB	2.2 GB	868.3 MB	6.2 MB
5	7e/e9ba7b	5124088	assembly:porechop (S37)	COMPLETED	0	2021-07-23 01:20:41.656	26m 48s	26m 29s	300.3%	1.7 GB	2.2 GB	1.5 GB	1.4 GB
8	fb/943eb7	5124091	assembly:porechop (S65)	COMPLETED	0	2021-07-23 01:20:42.426	28m 47s	28m 20s	311.8%	2 GB	2.5 GB	2 GB	1.9 GB
15	cb/7cc851	5124115	assembly:japsa (S37)	COMPLETED	0	2021-07-23 01:47:29.753	5m 30s	4m 46s	59.7%	581.9 MB	8.8 GB	510 MB	495.7 MB
16	40/c65d2d	5124118	assembly:japsa (S65)	COMPLETED	0	2021-07-23 01:49:29.824	6m 25s	5m 41s	65.9%	580.5 MB	8.8 GB	666.6 MB	654.9 MB
6	9d/1307af	5124089	assembly:porechop (S39)	COMPLETED	0	2021-07-23 01:20:41.949	39m 42s	39m 23s	302.2%	2.6 GB	3.2 GB	2.9 GB	2.8 GB
4	5f/f8d92b	5124087	assembly:porechop (S24)	COMPLETED	0	2021-07-23 01:20:41.431	41m 8s	40m 49s	335.2%	1.7 GB	2.2 GB	1.5 GB	1.4 GB
12	2b/387112	5124094	assembly:porechop (S129)	COMPLETED	0	2021-07-23 01:20:42.921	43m 36s	23m 45s	314.4%	1.6 GB	2.1 GB	1.4 GB	1.4 GB
20	27/44dc1d	5124130	assembly:japsa (S24)	COMPLETED	0	2021-07-23 02:01:49.421	5m 5s	4m 41s	59.6%	579.7 MB	8.8 GB	499.8 MB	485.3 MB
7	78/ace859	5124090	assembly:porechop (S96)	COMPLETED	0	2021-07-23 01:20:42.122	46m 37s	46m 22s	327.2%	2.4 GB	3 GB	2.5 GB	2.5 GB
21	04/7dc8bf	5124141	assembly:japsa (S129)	COMPLETED	0	2021-07-23 02:04:19.390	5m	4m 45s	58.2%	582.9 MB	8.8 GB	490 MB	478 MB
19	0b/78832d	5124126	assembly:japsa (S39)	COMPLETED	0	2021-07-23 02:00:24.399	9m 5s	8m 50s	61.8%	582.3 MB	8.8 GB	969 MB	960 MB
23	db/9bcd84	5124162	assembly:japsa (S96)	COMPLETED	0	2021-07-23 02:07:19.347	5m 35s	5m 9s	92.4%	582.3 MB	8.8 GB	865.7 MB	851.1 MB
9	8e/f3fd6e	5124092	assembly:porechop (S97)	COMPLETED	0	2021-07-23 01:20:42.597	1h 12s	59m 19s	320.8%	2.9 GB	3.4 GB	3.2 GB	3.1 GB
10	a7/d41558	5124093	assembly:porechop (S112)	COMPLETED	0	2021-07-23 01:20:42.759	1h 32s	40m 40s	335.1%	2 GB	2.5 GB	2 GB	1.9 GB
3	65/6d678d	5124086	assembly:porechop (S34)	COMPLETED	0	2021-07-23 01:20:41.194	1h 6m 18s	1h 6m 1s	338.0%	2.6 GB	3.1 GB	2.8 GB	2.7 GB
28	1a/13cd76	5124191	assembly:japsa (S112)	COMPLETED	0	2021-07-23 02:21:14.486	6m 20s	5m 52s	64.7%	580.8 MB	8.8 GB	677.5 MB	666.2 MB
17	0a/f85cac	5124121	assembly:flye (S37)	COMPLETED	0	2021-07-23 01:52:59.692	37m	27m 54s	301.6%	6.9 GB	7.2 GB	14.6 GB	10.6 GB
27	c2/ff2f50	5124190	assembly:japsa (S97)	COMPLETED	0	2021-07-23 02:20:54.420	9m 55s	9m 37s	63.4%	581 MB	8.8 GB	1.1 GB	1 GB
18	8b/f23996	5124122	assembly:flye (S65)	COMPLETED	0	2021-07-23 01:55:54.380	36m	27m 28s	294.7%	6.5 GB	6.8 GB	19.1 GB	13.8 GB
14	7b/03a3a1	5124097	assembly:porechop (HVM2044)	COMPLETED	0	2021-07-23 01:20:43.578	1h 12m 6s	32m 17s	301.1%	2.3 GB	2.8 GB	2.3 GB	2.2 GB
29	66/eb3391	5124201	assembly:japsa (S34)	COMPLETED	0	2021-07-23 02:26:59.414	6m 20s	5m 38s	92.7%	580.9 MB	8.8 GB	946.4 MB	936.1 MB
11	6e/1d6b75	5124096	assembly:porechop (S116)	COMPLETED	0	2021-07-23 01:20:43.405	1h 13m 46s	44m 22s	329.2%	2.4 GB	2.9 GB	2.5 GB	2.4 GB
22	f1/d5bacf	5124159	assembly:flye (S24)	COMPLETED	0	2021-07-23 02:06:54.579	30m 55s	30m 11s	197.8%	5.5 GB	6 GB	14.2 GB	10.3 GB
24	6f/110129	5124171	assembly:flye (S129)	COMPLETED	0	2021-07-23 02:09:19.569	29m 20s	21m 59s	287.9%	5.6 GB	6 GB	14.4 GB	10.4 GB
34	e7/e27738	5124214	assembly:japsa (HVM2044)	COMPLETED	0	2021-07-23 02:32:49.432	7m 5s	6m 41s	66.5%	581 MB	8.8 GB	788.2 MB	773.8 MB
36	c9/d09ba8	5124218	assembly:japsa (S116)	COMPLETED	0	2021-07-23 02:34:29.732	8m 5s	7m 22s	65.6%	585.6 MB	8.8 GB	856 MB	846.7 MB
31	e9/3d12c5	5124209	assembly:racon_cpu (S37)	COMPLETED	0	2021-07-23 02:29:59.503	17m 35s	16m 55s	367.2%	1.9 GB	2.3 GB	8 GB	4 GB
26	8f/39acfb	5124183	assembly:flye (S96)	COMPLETED	0	2021-07-23 02:12:54.393	40m 10s	31m 54s	306.2%	7.4 GB	7.9 GB	24.8 GB	17.9 GB
41	5a/1cace9	5124227	assembly:medaka_cpu (S37)	COMPLETED	0	2021-07-23 02:47:34.476	5m 35s	4m 58s	378.5%	5.3 GB	11.9 GB	3.7 GB	2.3 GB
30	41/ab170d	5124203	assembly:flye (S112)	COMPLETED	0	2021-07-23 02:27:34.396	27m 45s	27m 12s	304.5%	6.2 GB	6.6 GB	19.6 GB	14.2 GB
33	02/5078ed	5124213	assembly:racon_cpu (S65)	COMPLETED	0	2021-07-23 02:31:54.482	23m 25s	23m 11s	373.9%	2.2 GB	2.5 GB	10.5 GB	5.3 GB
38	35/ea2f71	5124222	assembly:racon_cpu (S129)	COMPLETED	0	2021-07-23 02:38:39.465	16m 40s	16m 11s	361.7%	1.9 GB	2.1 GB	7.7 GB	3.9 GB
